,Episode_No,Episode_Returns,Episode_Length
0,1.0,297.03054129150496,92.0
1,2.0,358.8367940662325,55.0
2,3.0,277.2696451377989,97.0
3,4.0,359.6737177231125,231.0
4,5.0,329.4961757072749,57.0
5,6.0,346.17837106245787,123.0
6,7.0,309.2670909245354,73.0
7,8.0,256.3409900427998,105.0
8,9.0,358.8367940662325,55.0
9,10.0,352.77260773081974,77.0
10,11.0,317.9437807241241,59.0
11,12.0,289.1021271671593,133.0
12,13.0,332.2778359725368,59.0
13,14.0,302.1893990676828,99.0
14,15.0,313.8093942429981,101.0
15,16.0,359.02953420078023,199.0
16,17.0,367.84072432155267,250.0
17,18.0,358.8367940662325,55.0
18,19.0,311.95503844199436,53.0
19,20.0,358.8367940662325,55.0
20,21.0,270.11954116154817,136.0
21,22.0,328.47370843429496,58.0
22,23.0,345.18505633085647,59.0
23,24.0,319.2541045871576,115.0
24,25.0,358.8367940662325,55.0
25,26.0,329.3528673769908,65.0
26,27.0,316.46973235788096,122.0
27,28.0,345.53321238839607,57.0
28,29.0,359.767631012397,141.0
29,30.0,316.5569060918722,187.0
30,31.0,358.8367940662325,55.0
31,32.0,327.28751286512835,294.0
32,33.0,369.5527467670454,236.0
33,34.0,365.40858762019104,112.0
34,35.0,360.0509292255522,65.0
35,36.0,330.07417242292104,61.0
36,37.0,348.0614022809333,56.0
37,38.0,376.2607875401254,167.0
38,39.0,347.8531401327618,57.0
39,40.0,325.8356658324441,107.0
40,41.0,362.88978947631585,143.0
41,42.0,358.8367940662325,55.0
42,43.0,358.8367940662325,55.0
43,44.0,358.8367940662325,55.0
44,45.0,358.8367940662325,55.0
45,46.0,358.8367940662325,55.0
46,47.0,367.2785346069832,292.0
47,48.0,335.6831399834878,57.0
48,49.0,358.8367940662325,55.0
49,50.0,343.16534950516836,61.0
50,51.0,372.3024717357891,464.0
51,52.0,358.8367940662325,55.0
52,53.0,354.8255003599345,57.0
53,54.0,359.2557368978236,97.0
54,55.0,358.8367940662325,55.0
55,56.0,344.30029425520894,59.0
56,57.0,334.6849441168499,75.0
57,58.0,373.1336649487843,197.0
58,59.0,352.89543271462225,227.0
59,60.0,349.3893974710098,59.0
60,61.0,358.846671233511,131.0
61,62.0,353.28556398381255,144.0
62,63.0,364.27914987525224,173.0
63,64.0,351.33641668268785,109.0
64,65.0,354.8289810668573,243.0
65,66.0,322.59146124899445,61.0
66,67.0,367.70473630849017,265.0
67,68.0,376.26090836840035,143.0
68,69.0,350.9076861650303,83.0
69,70.0,330.0872365484611,77.0
70,71.0,336.7111527851395,58.0
71,72.0,336.243821361846,181.0
72,73.0,355.4554535973784,57.0
73,74.0,280.6859074537801,41.0
74,75.0,366.9749138403519,71.0
75,76.0,357.04092016282664,56.0
76,77.0,343.75837640482723,65.0
77,78.0,213.47985272317953,21.0
78,79.0,342.12846302608335,244.0
79,80.0,337.83892944845655,231.0
80,81.0,369.7314854979321,157.0
81,82.0,358.8367940662325,55.0
82,83.0,339.5255185600133,163.0
83,84.0,300.2500771438409,67.0
84,85.0,364.42104687042274,139.0
85,86.0,337.04149331655213,57.0
86,87.0,351.00799086088796,57.0
87,88.0,358.8367940662325,55.0
88,89.0,356.5245886328502,57.0
89,90.0,354.12749123257294,57.0
90,91.0,310.50089181465216,75.0
91,92.0,361.86844596290854,137.0
92,93.0,311.77596781309484,61.0
93,94.0,359.4720145692859,113.0
94,95.0,291.4621179344899,71.0
95,96.0,344.34911153982154,245.0
96,97.0,309.8259167806884,59.0
97,98.0,358.8367940662325,55.0
98,99.0,345.9330729786072,360.0
99,100.0,338.78558627570436,109.0
100,101.0,294.6447126018614,57.0
101,102.0,314.14954847704945,61.0
102,103.0,338.9445735492874,187.0
103,104.0,338.16903794355477,169.0
104,105.0,353.7506981813656,57.0
105,106.0,341.6891862443428,59.0
106,107.0,351.20530779000063,59.0
107,108.0,361.58002421326296,143.0
108,109.0,353.19871406831675,241.0
109,110.0,367.86450444603855,261.0
110,111.0,358.8367940662325,55.0
111,112.0,355.4554535973784,57.0
112,113.0,323.94770664477494,57.0
113,114.0,329.5431010563261,58.0
114,115.0,348.9868133532695,207.0
115,116.0,327.74070039477493,57.0
116,117.0,304.00197754001323,682.0
117,118.0,358.8367940662325,55.0
118,119.0,365.8255978882661,117.0
119,120.0,358.1039641584315,121.0
120,121.0,374.1398395791897,129.0
121,122.0,345.38120994821355,123.0
122,123.0,374.98966048306335,124.0
123,124.0,374.0483520722594,316.0
124,125.0,347.1191402066303,57.0
125,126.0,330.91378024507804,151.0
126,127.0,366.92647510108253,458.0
127,128.0,322.6819913192621,61.0
128,129.0,356.75018855105645,57.0
129,130.0,342.5327009849273,113.0
130,131.0,358.3350869065898,57.0
131,132.0,319.65168583451657,128.0
132,133.0,362.8773630761141,103.0
133,134.0,345.3422962618097,322.0
134,135.0,335.6831399834878,57.0
135,136.0,359.4142315615034,244.0
136,137.0,337.57693375782424,229.0
137,138.0,320.4980027275619,151.0
138,139.0,364.09653920602074,199.0
139,140.0,336.1072760841037,59.0
140,141.0,349.43098619649254,58.0
141,142.0,311.444319975932,59.0
142,143.0,370.3116200317992,99.0
143,144.0,369.6559442092236,350.0
144,145.0,358.8367940662325,55.0
145,146.0,354.222264126459,315.0
146,147.0,364.85135707175374,103.0
147,148.0,370.1174865953406,223.0
148,149.0,331.19739499074836,119.0
149,150.0,349.6926366641483,186.0
150,151.0,365.8771433827054,97.0
151,152.0,347.4442972657745,59.0
152,153.0,326.1188677835495,63.0
153,154.0,339.00150839664065,59.0
154,155.0,376.3236976186589,400.0
155,156.0,357.1681123995334,57.0
156,157.0,336.8864618964881,207.0
157,158.0,371.5027799387483,200.0
158,159.0,364.5900073060022,113.0
159,160.0,339.5578428660539,57.0
160,161.0,327.53539933834116,61.0
161,162.0,288.208640898025,37.0
162,163.0,356.28711503473846,57.0
163,164.0,358.8367940662325,55.0
164,165.0,352.93171976834475,253.0
165,166.0,340.1700266301564,337.0
166,167.0,329.4961757072749,57.0
167,168.0,358.8367940662325,55.0
168,169.0,321.1681921792129,285.0
169,170.0,339.1678482596313,195.0
170,171.0,261.04572201470506,38.0
171,172.0,357.4723708857648,107.0
172,173.0,358.8367940662325,55.0
173,174.0,351.7153995498898,160.0
174,175.0,333.0724768518361,167.0
175,176.0,370.3373828796398,110.0
176,177.0,356.17666947304815,167.0
177,178.0,348.32265909836707,227.0
178,179.0,351.00799086088796,57.0
179,180.0,358.8367940662325,55.0
180,181.0,342.88642860218636,69.0
181,182.0,347.25762190657485,403.0
182,183.0,350.0510494767503,228.0
183,184.0,350.7794322017049,99.0
184,185.0,369.62015517665753,212.0
185,186.0,352.22299136391655,322.0
186,187.0,358.8367940662325,55.0
187,188.0,348.8184981213077,87.0
188,189.0,338.5000449841312,129.0
189,190.0,343.04863184991507,64.0
190,191.0,322.4314137543505,61.0
191,192.0,358.8367940662325,55.0
192,193.0,368.7062829841097,209.0
193,194.0,358.8367940662325,55.0
194,195.0,357.5452886727838,57.0
195,196.0,339.12763115612256,194.0
196,197.0,335.9981346739587,125.0
197,198.0,333.0555615851808,239.0
198,199.0,356.81777126533996,291.0
199,200.0,324.2669181093925,103.0
200,201.0,362.11752058235317,149.0
201,202.0,340.05364531380684,59.0
202,203.0,366.3637929968719,235.0
203,204.0,358.8367940662325,55.0
204,205.0,329.3285870309296,63.0
205,206.0,358.8367940662325,55.0
206,207.0,324.826125446885,95.0
207,208.0,361.02825622892044,65.0
208,209.0,332.63148021034704,59.0
209,210.0,288.208640898025,37.0
210,211.0,358.8367940662325,55.0
211,212.0,344.3912704848554,363.0
212,213.0,350.60555021647673,65.0
213,214.0,355.4686904388401,89.0
214,215.0,362.5286111686748,119.0
215,216.0,358.8367940662325,55.0
216,217.0,365.44456796481353,327.0
217,218.0,356.28711503473846,57.0
218,219.0,372.4430234199031,131.0
219,220.0,327.74070039477493,57.0
220,221.0,319.12095988692374,57.0
221,222.0,358.8367940662325,55.0
222,223.0,369.83665113163613,512.0
223,224.0,338.3319289829633,57.0
224,225.0,337.6491544472048,131.0
225,226.0,343.2288923557042,651.0
226,227.0,259.3097509764357,41.0
227,228.0,366.0003489174633,106.0
228,229.0,364.02536641950553,315.0
229,230.0,343.52691346626193,303.0
230,231.0,358.33503997818843,127.0
231,232.0,372.17120067702956,119.0
232,233.0,333.27236793870605,69.0
233,234.0,325.8928316447749,57.0
234,235.0,344.9236335720369,99.0
235,236.0,342.8273628542182,57.0
236,237.0,364.50350402850415,147.0
237,238.0,364.8385280198121,352.0
238,239.0,368.8243499328542,118.0
239,240.0,338.4197265193231,61.0
240,241.0,367.41305908203555,185.0
241,242.0,370.6239139376426,171.0
242,243.0,327.80003878894183,59.0
243,244.0,335.23034927191026,59.0
244,245.0,360.3397996314915,143.0
245,246.0,356.75018855105645,57.0
246,247.0,353.3540739169368,57.0
247,248.0,344.8977792193311,93.0
248,249.0,358.8367940662325,55.0
249,250.0,323.1568767357604,93.0
250,251.0,333.9309433924268,237.0
251,252.0,352.128439544532,377.0
252,253.0,312.0969222491137,59.0
253,254.0,346.40299106919304,196.0
254,255.0,358.8367940662325,55.0
255,256.0,369.8072196625424,161.0
256,257.0,332.506357535231,124.0
257,258.0,329.4961757072749,57.0
258,259.0,358.8367940662325,55.0
259,260.0,358.8367940662325,55.0
260,261.0,362.10945069760373,181.0
261,262.0,347.7483411762448,103.0
262,263.0,358.8367940662325,55.0
263,264.0,327.40941030364746,59.0
264,265.0,350.16708437744046,155.0
265,266.0,358.8367940662325,55.0
266,267.0,346.51294284482213,59.0
267,268.0,358.8367940662325,55.0
268,269.0,356.28711503473846,57.0
269,270.0,354.5190436004153,61.0
270,271.0,350.49792536838464,106.0
271,272.0,332.4557219249971,67.0
272,273.0,340.30039796224565,60.0
273,274.0,370.0464098446506,273.0
274,275.0,348.5651706237227,109.0
275,276.0,358.8367940662325,55.0
276,277.0,356.70866118807953,211.0
277,278.0,358.5512066059866,174.0
278,279.0,366.35245010805824,107.0
279,280.0,337.54394788816285,181.0
280,281.0,358.8367940662325,55.0
281,282.0,358.8367940662325,55.0
282,283.0,341.1977826294557,266.0
283,284.0,358.8367940662325,55.0
284,285.0,364.7171860059123,89.0
285,286.0,353.3540739169368,57.0
286,287.0,296.23545053252695,71.0
287,288.0,358.8367940662325,55.0
288,289.0,375.0968346166396,162.0
289,290.0,355.5159014594876,199.0
290,291.0,358.8367940662325,55.0
291,292.0,347.5321583152083,306.0
292,293.0,358.8367940662325,55.0
293,294.0,373.3524834767782,213.0
294,295.0,311.01008380120237,459.0
295,296.0,360.11889634610174,87.0
296,297.0,357.04092016282664,56.0
297,298.0,346.5037915372353,117.0
298,299.0,358.8367940662325,55.0
299,300.0,321.1496786431508,129.0
300,301.0,352.0344988018668,57.0
301,302.0,321.8090254617918,520.0
302,303.0,358.8367940662325,55.0
303,304.0,329.4961757072749,57.0
304,305.0,370.40958011674763,111.0
305,306.0,223.51787065987486,25.0
306,307.0,352.0344988018668,57.0
307,308.0,358.7997219882726,369.0
308,309.0,358.8367940662325,55.0
309,310.0,328.3319277247962,119.0
310,311.0,327.65391123358603,127.0
311,312.0,358.5170388345229,150.0
312,313.0,349.84218818258734,57.0
313,314.0,358.2150783799655,229.0
314,315.0,371.4111172075027,365.0
315,316.0,358.8367940662325,55.0
316,317.0,362.30950666008346,119.0
317,318.0,367.94611047020595,189.0
318,319.0,363.7289111964296,350.0
319,320.0,356.48541797890135,347.0
320,321.0,375.54577826056857,323.0
321,322.0,358.8367940662325,55.0
322,323.0,349.8193675930145,65.0
323,324.0,357.20474876650775,504.0
324,325.0,365.9814828326727,327.0
325,326.0,358.8367940662325,55.0
326,327.0,302.2735821597885,39.0
327,328.0,368.0625020165701,91.0
328,329.0,358.27210030147126,237.0
329,330.0,329.2825386718064,451.0
330,331.0,358.7446239870248,133.0
331,332.0,371.80417689487996,131.0
332,333.0,358.8367940662325,55.0
333,334.0,340.77262066222823,75.0
334,335.0,343.0977512436472,397.0
335,336.0,339.5578428660539,57.0
336,337.0,365.10322361025527,97.0
337,338.0,358.8367940662325,55.0
338,339.0,371.36491703026076,486.0
339,340.0,358.8367940662325,55.0
340,341.0,341.5044636992255,146.0
341,342.0,349.84218818258734,57.0
342,343.0,358.8367940662325,55.0
343,344.0,339.5164888894693,253.0
344,345.0,352.9365746912223,57.0
345,346.0,262.41693086799364,33.0
346,347.0,348.35327030629355,59.0
347,348.0,354.8255003599345,57.0
348,349.0,353.3540739169368,57.0
349,350.0,303.7062231686866,59.0
350,351.0,206.49943424916881,23.0
351,352.0,358.8367940662325,55.0
352,353.0,320.9025607474691,262.0
353,354.0,342.8273628542182,57.0
354,355.0,319.31482638778596,309.0
355,356.0,341.8288483344792,57.0
356,357.0,319.77138462104233,58.0
357,358.0,360.22320225039397,379.0
358,359.0,343.42654020343224,159.0
359,360.0,351.5475482543065,57.0
360,361.0,365.77647608896575,260.0
361,362.0,350.3614552271772,171.0
362,363.0,339.9537878316788,139.0
363,364.0,352.9012832053592,59.0
364,365.0,357.28570513283995,128.0
365,366.0,358.3350869065898,57.0
366,367.0,356.75018855105645,57.0
367,368.0,344.4519803427751,179.0
368,369.0,355.1485533022134,57.0
369,370.0,361.7795838329007,381.0
370,371.0,361.9423251633572,115.0
371,372.0,362.5625364563696,125.0
372,373.0,358.8367940662325,55.0
373,374.0,358.8367940662325,55.0
374,375.0,358.8367940662325,55.0
